Название модели;Цена;Производитель;Тип;Способ установки;Мощность;Давление;Объем воды;Используемый кофе;Вес;Цвет;Наличие мельницы;Степень помола;cappuccino;Дисплей;Система самоочистки;Ссылки на изображения;Огляд
Bosch CTL636ES6;47702;Bosch;кавоварка автоматична;вбудована;1600;19;2.4;зерна, мелена;;чорний / нержавіюча сталь;есть;есть;есть;есть;есть;1892941145;Автоматическая кофемашина Bosch CTL636ES6 - современный встраиваемый кухонный прибор, который ежедневно будет радовать любителей кофе своими многофункциональными возможностями. Модель мощностью 1600 Вт оборудована высококачественной керамической бесшумно работающей мельницей с регулируемой степенью помола кофейных зёрен любых сортов. Чтобы надолго сохранить аромат кофе, до 500 грамм его зёрен хранятся в специальном контейнере с крышкой. Устройство сможет приготовить «cappuccino», автоматически выбирая объём порции и крепость кофе, а также одновременно выдать две чашки напитка. После каждого приготовления кофе с молоком функция Auto Milk Clean выполнит паровую мойку прибора от остатков молока, обеспечивая постоянное качество напитка. Встроенные программы позволят произвести удаление накипи, а после каждого заваривания кофе, сделают очистку всех каналов внутри прибора. Автоматическая кофемашина Bosch CTL636ES6 со встроенным блоком Wi-Fi с помощью приложения Home Connect, выполнит удалённую диагностику технического состояния и выберет любимые рецепты из 17 предложенных, сохранив их для дальнейшего использования.
Delonghi ICM 15210.1;950;Delonghi;крапельна кавоварка;настільна;900;;1.24;мелена;1.7;чорний;;;;есть;;2028803495;Крапельна кавоварка ICM15250 чорного кольору на 10 чашок з цифровою системою управління і скляною колбою для кави з фронтальним завантаженням.
Delonghi Nespresso Essenza Mini EN85.R;2024;Delonghi;капсульна кавоварка еспресо;настільна;1150;19;0.6;капсули;2.3;червоний;;;;;;2102411275;За допомогою капсульної кавоварки Essenza Mini EN 85 можна швидко приготувати гарячої підбадьорливої кави вдома або в офісі. Завдяки своїм компактним розмірам вона легко поміститься в будь-якому куточку на вашій кухні. Високопродуктивна помпа, здатна створювати тиск до 19 бар дозволить по максимуму розкрити смак та аромат кави. Ви можете вибрати між чашками двох розмірів: «Еспрессо» - 40 мл або «Лунго» - 110 мл. А регулювання порції води дозволяє вибрати потрібний обсяг напою. Якщо пристроєм не користуватися більше 9 хвилин, він вимкнеться автоматично. Використані капсули збираються в резервуарі, який при необхідності легко виймається.
Delonghi ECAM 44.624.S Eletta Plus;27999;Delonghi;кавоварка автоматична;настільна;1450;15;2;зерна, мелена;11;сріблястий;есть;есть;есть;есть;есть;1806036565;Кавоварка DeLonghi ECAM 44.624 S Eletta Plus створена відомим італійським виробником для того, щоб ви змогли отримати незабутні враження від кавових напоїв, не виходячи з дому. Кава, приготована цією моделлю, за своїми смаковими якостями нітрохи не поступається приготовленому професійним бариста. Машина виконана в строгому і елегантному дизайні, гармонійне поєднання чорного і сірого кольорів підійде до інтер'єру вашого будинку або офісу.
Delonghi EC 5;1600;Delonghi;ріжкова кавоварка еспресо;настільна;800;3;0.4;мелена;1.6;чорний;;;есть;;;1143385;Кофеварка Delonghi EC 5 является прекрасным выбором для людей, которые не представляют своей жизни без чашечки ароматного кофе или капучино. Для их приготовления в этом приборе есть все необходимое. Delonghi EC 5 предусматривает возможность разливания готовящегося в нем напитка сразу на две чашки, а такая система как «Капучино», легко смешивает пар, воздух и молоко, что обеспечивает пышную пенку и отменный вкус. Можно в ней регулировать и интенсивность струи пара, что весьма удобно. А для большей безопасности и комфортной работы с Delonghi EC 5, производитель установил защитную крышку, исключающую случайные открывания и подсветку кнопки включения/выключения.
Delonghi EC 151.B;3399;Delonghi;ріжкова кавоварка еспресо;настільна;1100;15;1;мелена, чалди;3;чорний;;;есть;;;1806031435;Delonghi EC 151.B – простая в использовании рожковая кофеварка эспрессо. Благодаря настольному способу установки, небольшим размерам и весу всего 3 кг, Вы легко сможете разместить ее даже на крошечной кухне и всегда взять с собой на дачу или в долгую командировку. Эта модель предназначена для настоящего эспрессо, благодаря многофункциональности и отличному сочетанию пара, воздуха, молока и разнообразного кофе. Обратите внимание на то, что заваривать напитки Вы сможете из молотого кофе, а также использовать чалды. Противокапельный механизм и дренажный отсек для капель помогут в уходе за кофемашиной Delonghi EC 151.B. Выбирая данную модель, Вы убедитесь в высоком качестве приготовленных напитков и в надежности прибора.
Delonghi EC 156.B;3805;Delonghi;ріжкова кавоварка еспресо;настільна;1050;15;1;мелена, чалди;3;чорний;;;есть;;;1643715475;Такая кофеварка эспрессо, как Delonghi EC 156 B, порадует своей стабильной работой и качеством приготовленного напитка с отменным вкусом и ароматом. Delonghi EC 156 B оснащена надежным бойлером, изготовленным из нержавеющей стали, а также системой, позволяющей ей работать под давлением в 15 бар. Простоту в эксплуатации обеспечивает мгновенная готовность к работе, а также возможность использовать для него как молотые зерна кофе, так и чалды. Умеет она готовить и капучино со стойкой молочной пенкой. Помимо этого данная модель содержит два отдельных термостата, позволяющих контролировать температуру воды и пара, а также поможет сэкономить на электроэнергии, автоматически отключившись после 9 минут простоя. Установив у себя дома Delonghi EC 156 B, Вы ни разу не пожалеете о своем выборе и сможете в любое время насладиться чашечкой вкусно приготовленного напитка.
Delonghi Distinta ECI 341.W;5999;Delonghi;ріжкова кавоварка еспресо;настільна;1050;15;1;мелена, чалди;4.25;білий;;;есть;;;1806031335;Кофеварка эспрессо рожкового типа Delonghi Distinta ECI 341.W отлично приготовит напиток как из молотого кофе, так и подготовленных чалд. Delonghi Distinta ECI 341.W имеет простую в эксплуатации конструкцию, которая не вызовет сложностей как в процессе эксплуатации, так и во время обслуживания. Данная модель работает с давлением 15 бар и предусматривает наличие 1 л резервуара для воды. Ее габаритные размеры соответствуют 322х17х310 мм, при этом вес составляет 4,25 кг. Также в ней предусмотрено наличие таких практичных функций, как подогрев чашек, ручное приготовление капучино, автоматическое выключение и возможность регулировки интенсивности подачи пара. К тому же качественное исполнение гарантирует Delonghi Distinta ECI 341.W долгий срок службы, независимо от активности эксплуатации.
Delonghi EC 850 M;8235;Delonghi;ріжкова кавоварка еспресо;настільна;1450;15;1;мелена, чалди;5.4;сріблястий з хромованими деталями;;;;;есть;4312615;"Начать утро с чашечки ароматного свежеприготовленного кофе поможет замечательная кофеварка эспрессо Delonghi EC 850 M, которая имеет потребляемую мощность 1450 Вт и энергопотребление класса А+. Рожковая кофеварка с автоматической системой Autocappuccino имеет уникальную комплектацию, поэтому позволит приготовить капучино нажатием всего одной кнопки, а приготовить эспрессо с безупречной кофейной пенкой позволит удобный профессиональный держатель фильтра как для молотого, так и для порционного кофе с устройством ""crema"". Дополнительное удобство при эксплуатации кофеварки Delonghi EC 850 M обеспечивает съемная компактная форма емкости для молока, которую можно отдельно хранить в холодильнике. Современная Delonghi EC 850 M порадует своего пользователя надежностью, неприхотливостью и простотой в эксплуатации."
Delonghi Magnifica S ECAM 22.110.SB;12648;Delonghi;кавоварка автоматична;настільна;1450;15;1.8;зерна, мелена;9;сріблястий;есть;есть;есть;;есть;1806045405;Приятно удивить своих друзей необыкновенно вкусным и ароматным кофе, с учетом их индивидуальных пожеланий, позволит замечательная кофеварка эспрессо Delonghi ECAM 22.110 SB, в которой можно использовать не только молотый кофе, но и зерновой, измельчить который поможет мельничка с 13 степенями помола. Delonghi ECAM 22.110 SB поможет одновременно приготовить две чашечки кофе, а благодаря уникальной возможности дозирования количества кофе и воды, Вы сможете сделать горячий напиток еще вкуснее и ароматнее. Приготовить вкусный капучино с густой пенкой позволит специальное ручное устройство, а функция предварительного смачивания предусмотрена специально для максимального улучшения вкусовых качеств любимого напитка. Кофеварка Delonghi ECAM 22.110 SB оснащена автоматическим выключением и функцией энергосбережения, что гарантирует дополнительную безопасность и экономию.
Delonghi PrimaDonna XS De Luxe ETAM 36.364.M;34299;Delonghi;кавоварка автоматична;настільна;1450;15;1.3;зерна, мелена;11;сріблястий;есть;есть;есть;есть;есть;1959902005;Автоматическая кофемашина Delonghi PrimaDonna XS De Luxe ETAM 36.364.M сумеет приятно удивить не только высоким качеством приготовления напитков из кофейных зерен, но и своей богатой функциональностью. Delonghi PrimaDonna XS De Luxe ETAM 36.364.M при своих больших возможностях не вызовет сложностей в эксплуатации, за счет хорошо продуманных деталей, в том числе четырехстрочного дисплея и понятной панели управления. Специальная система автокапучинатора расширяет возможность приготовления напитков. Также в этой модели есть дополнительная насадка для подачи воды и пара, подогрев чашек, кофемолка с возможностью выбора до 13 степеней помола, функция предварительного смачивания, подсветка чашек, резервуар для воды, объемом 1,3 л, фильтр для воды, функция энергосбережения и режим автоотключения.
Gaggia Viva Style RI8433/11;4426;Gaggia;ріжкова кавоварка еспресо;настільна;1025;;1.25;мелена, чалди;4;чорний;;;есть;;;2167161605;Рожковая кофеварка эспрессо Gaggia Viva Style RI8433/11 - отдельностоящий прибор чёрного цвета, который можно удобно разместить на кухне, в кафе или офисе для приготовления кофейного напитка из молотого кофе или пакетиков – чалд. Модель мощностью 1025 Вт оборудована контейнером для воды объёмом 1,25 литра, позволяющим приготовить ряд чашек кофе для небольшой компании без долива. Благодаря мелкосетчатому фильтру в рожке напиток получается насыщенным по вкусу, однородным по структуре и без кофейной гущи. На верхней платформе можно удобно располагать кофейные чашки для хранения. Ручной капучинатор обеспечит нежную пену из молока для тех, кто предпочитает наслаждаться молочным кофейным напитком. Функция подачи горячей воды в рожковой кофеварке эспрессо Gaggia Viva Style RI8433/11 может использоваться для того, чтобы приготовить ароматный чай или напиток из душистых трав.
Gaggia Brera Silver (RI9305/01);14083;Gaggia;кавоварка автоматична;настільна;1400;15;1.2;зерна, мелена;8.5;сріблястий;есть;есть;есть;есть;есть;47774185;Настольная кофеварка эспрессо Gaggia Brera Silver (RI9305/01), благодаря достаточно компактным размерам, аккуратно расположится на кухонном столе, а ее современный дизайн будет отлично гармонировать с кухонным интерьером. Бойлер кофеварки выполнен из нержавеющей стали, поэтому вода для приготовления кофе не будет иметь неприятного привкуса пластмассы. Керамические жернова с регулировкой качества помола никогда не перегреваются, обеспечивая тем самым идеальное качество помола, долгий срок службы и бесшумную работу. В Gaggia Brera Silver (RI9305/01) предусмотрена электронная система управления, практично дополненная дисплеем, что позволяет Вам легко программировать желаемый результат, а вот капучино готовится вручную, но это не является недостатком, а наоборот обеспечивает непревзойденный результат. Практичность кофеварки Gaggia Brera Silver (RI9305/01) реализуется через возможность выбора объема порции кофе, регулирование крепости и автоматическую очистку от накипи.
Gaggia Accademia (RI9702/02);36999;Gaggia;кавоварка автоматична;настільна;1500;15;1.6;зерна, мелена;17;нержавіюча сталь;есть;есть;есть;есть;есть;11166485;"Контейнер для молотого кофе, система адаптации ""GAGGIA"", система ""мгновенного пара"", трубки подачи пара/горячей воды, система E-Plus, предварительный помол, предварительное смачивание, регулируемый по высоте диспенсер."
Gaggia Deco E Silver 2GR;127499;Gaggia;ріжкова кавоварка еспресо;настільна;5005;15;13;мелена;60;сріблястий;;есть;есть;есть;есть;2065897415;Кофемашина предназначена для работы в кафе, барах. 2 группы заваривания кофе, одновременное приготовление 4 порций. Насадка панарелло для взбивания молока. Встроенная подсветка кофеварки. Автоматическое электронное включение/выключение кофемашины. 2 трубки выдачи пара / 1 трубка выдачи горячей воды.
Krups Nespresso Essenza Mini XN1108;2986;Krups;капсульна кавоварка еспресо;настільна;1200;19;0.6;капсули;2.3;чорний;;;есть;;;1865832265;Быстрый нагрев (25 сек). Функция энергосбережения (кофе-машина автоматически отключается через 3 минуты). Съемный резервуар для воды. Автоматическое отключение (через 9 или 30 минут).
Krups EA816B;9901;Krups;кавоварка автоматична;настільна;1450;15;1.7;зерна;1.7;чорний;есть;;;есть;есть;2082393495;Многофункциональная кофейная машина автоматическая Krups EA816B – компактный аппарат чёрного цвета, который можно удобно разместить на кухне, в кафе или офисе для приготовления вкусного кофе из зёрен. Модель мощностью 1450 Вт обеспечивает давление пара 15 бар, благодаря чему получается напиток с неповторимым и насыщенным вкусом. С помощью встроенной мельницы удобно выполнять помол зёрен непосредственно перед приготовлением, поэтому напиток получается свежим и ароматным. Пользователю предоставлена возможность выбирать желаемый уровень крепости эспрессо. Кроме этого, он может одновременно готовить две порции любимого напитка или порадовать себя и гостей чашечкой капучино с нежной пеной. Прибор оборудован дренажным отсеком для капель, обеспечивающим чистоту и порядок на поверхности стола. Кофейная машина автоматическая Krups EA816B для дополнительного удобства оснащена информативным дисплеем, на котором отображаются этапы приготовления напитков.
Krups EA8010;18999;Krups;кавоварка автоматична;настільна;1450;15;1.8;зерна;7.5;сріблястий;есть;;есть;;;2577525;"Индикатор уровня воды; Индикация включения; 3 степени помола; регулировка температуры кофе, регулировка порции горячей воды; регулируемый по высоте узел подачи кофе"
Krups EA907D;39999;Krups;кавоварка автоматична;настільна;1451;16;2.7;зерна, мелена;11.2;нержавіюча сталь;есть;есть;есть;есть;есть;2179033265;Современная кофемашина автоматическая Krups EA907D гармонично разместится на любой кухне или в кабинете для регулярного приготовления ароматного кофе для его ценителей и любителей. Модель варит напиток из целых зёрен или из уже готового молотого кофе. Помол выполняется мельницей с металлическими жерновами, зёрна в которую подаются из контейнера ёмкостью 250 грамм. Три степени помола можно выбирать в зависимости от вкусовых предпочтений. Вода, поступающая из бака объёмом 1,7 литра, проходит через очищающий фильтр. В приборе установлен специальный индикатор, позволяющий отслеживать расход жидкости в процессе приготовления напитка. Чтобы насладится идеальным напитком, есть возможность задать 3 вида крепости кофе и объём порции. Возможность использовать горячую воду позволяет быстрее сварить желаемый напиток. Устройство также может приготовить капучино с нежной пенкой, используя два режима вспенивания молока. Автоматическая кофемашина Krups EA907D оборудована сенсорным TFT дисплеем, на котором отображаются настройки и текущее состояние прибора.
Melitta Aroma Fresh 1021-01;3816;Melitta;крапельна кавоварка;настільна;1000;;1.25;зерна, мелена;3;чорний / сріблястий;есть;есть;;есть;есть;2130944855;Новая кофеварка Melitta AromaFresh оснащена встроенной кофемолкой. Это позволяет вам готовить вкусный фильтрованный кофе из свежесобранных кофейных зерен по вашему индивидуальному вкусу, поскольку уровень помола (от мелкого до крупного) и крепость кофе (мягкий, средний, крепкий) имеют множество настроек. Индикатор уровня воды на прозрачном контейнере для воды позволяет легко заполнять необходимое количество воды до 10 чашек. Кофемолку можно отключить, чтобы приготовить вкусный кофе с использованием молотого кофе.
Melitta Purista F23/0-102;10786;Melitta;кавоварка автоматична;настільна;1450;15;1.2;зерна;7.9;чорний;есть;есть;;есть;есть;2179498465;"Функция ""Любимый кофе"". Система Арома - экстракции (А. С. Е.): больше вкуса с предварительным смачиванием кофе, перед фактическим употреблением. Кнопка обслуживания обеспечивает простой доступ к очистке и декальцинации. Режим одновременного приготовления, позволяет приготовить сразу две чашки эспрессо или кофе-крем. Подача кофе регулируется по высоте до 135 мм. Съемный заварочный блок."
Melitta Caffeo Barista TS Smart;45913;Melitta;кавоварка автоматична;настільна;1450;15;1.8;зерна, мелена;10.5;чорний;есть;есть;есть;есть;есть;2128505285;Современная кофемашина автоматическая Mellita Caffeo Barista TS Smart black (F85/0-102) чёрного цвета предназначена для комфортного приготовления 21 кофейного напитка в домашних условиях или в кафе и офисах. Высокая мощность 1450 Вт обеспечивает рабочее давление в 15 бар, позволяющие весь вкус и аромат кофе перенести в напиток. Тихая и эффективная мельница выполняет тщательный помол зёрен, а при их отсутствии своевременно напоминает о необходимости наполнения кофемолки. Пользователь может одновременно приготовить две порции кофе, а также выбрать необходимую крепость напитка и его объём. Дозаторы, по которым подаётся кофейный напиток, горячая вода и молоко, регулируются по высоте таким образом, чтобы можно было использовать стаканы высотой до 140 мм. Функция My Coffee Memory позволяет программировать свои индивидуальные рецепты приготовления кофе. Современная кофемашина автоматическая Mellita Caffeo Barista TS Smart black (F85/0-102) оборудована системой фильтрации воды, обеспечивающей высокое качество напитков и предохраняющей аппарат от образования накипи, и цветным информативным дисплеем.
Nivona CafeRomatica 626 (NICR 626);14535;Nivona;кавоварка автоматична;настільна;1400;15;2;зерна, мелена;10;чорний;есть;есть;есть;есть;есть;35005015;Поверхность для хранения чашек. Функция отключения питания с нулевым потреблением энергии. Возможность приготовления двух порций одновременно. Установка температуры кофе. Регулировка степени помола. Регулировка объема порции. Система AROMATICA для обеспечения аромата. Резервуар для кофе в зернах: 250 г.
Nivona CafeRomatica 759 (NICR 759);19999;Nivona;кавоварка автоматична;настільна;1455;15;2.2;зерна, мелена;11;чорний;есть;есть;есть;есть;есть;2177196335;Настольная кофемашина автоматическая Nivona CafeRomatica 759 (NICR 759) выполнена в современном дизайне чёрного матового цвета с хромированными вставками. Она приготовит ароматный и вкусный кофе для любителей этого напитка. Модель использует как целые кофейные зёрна, так и готовый молотый кофе. Устройство с регулируемой степенью помола работает с низким уровнем шума, гарантируя высокое качество измельчения. Съёмный резервуар для жидкости объёмом 2,2 литра легко мыть и наполнять водой. Прибор поможет приготовить кофе с заданной крепостью и температурой приготовления. Он может использовать и горячую воду. Высоту дозатора можно регулировать до 14 см и наполнять высокие чашки или стаканы. Нажатием одной кнопки выполняется автоматическая очистка, полоскание и удаление накипи в приборе. Автоматическая кофемашина Nivona CafeRomatica 759 (NICR 759) контролирует уровень воды в резервуаре и наличие кофейных зёрен в контейнере кофемолки.
Nivona CafeRomatica 1030 (NICR 1030) ;62999;Nivona;кавоварка автоматична;настільна;2700;15;3.5;зерна, мелена;13;чорний;есть;есть;есть;есть;есть;2095897615;"Система сбалансированного аромата (Aroma Balance System). Функция ""МОЙ КОФЕ"", с поддержкой до 18 рецептов напитков. Одно касание Spumatore Duo для приготовления двух чашек капуччино одновременно с использованием сенсорного дисплея. Два термоблока. Съемный узел приготовления для упрощения и повышения качества чистки. Блокировка для напитков с молоком. Регулировка температуры кофе в 3 этапа. Режим ECO. Автоматическая система ополаскивания для взбивателя пены. Регулируемый по высоте выход для кофе (до 16,5 см). Двухцветная подсветка чашки. Держатель для молочного шланга на выходе для кофе. Подставка с подогревом. Прозрачный контейнер для молока (0,9 л)."
Philips HD7447/00;849;Philips;крапельна кавоварка;настільна;1000;;1.2;мелена;1.42;білий;;;;;;2172798945;Замечательная капельная кофеварка Philips HD7447/00 станет настоящей находкой для людей, не представляющих свое утро без чашечки свежезаваренного ароматного и бодрящего напитка. Philips HD7447/00 небольшая по своим габаритам 220x220x290 мм, при этом предлагает весьма вместительный стеклянный резервуар для воды с индикатором уровня объемом в 1,2 л, а это больше 10 чашек кофе. Также эта модель комплектуется съемным держателем для фильтра и предусматривает возможность мойки ее частей в посудомоечной машине, что значительно облегчит уход за ней. Помимо этого Вы всегда можете воспользоваться функцией «капля-стоп», остановив процесс приготовления напитка в любой момент. Останавливая свой выбор на Philips HD7447/00, Вы ни разу не пожалеете о нем, ведь она будет служить долгое время, хорошо справляясь со своей основной задачей.
Philips HD8650/09;7999;Philips;кавоварка автоматична;настільна;1400;15;1;зерна;7;чорний;есть;есть;есть;;есть;2188971315;Практичная и удобная автоматическая кофемашина Philips HD8650/09, мощностью в 1400 Вт, отлично справится с задачей приготовления кофе, сумев порадовать Вас вкусным и ароматным напитком. Philips HD8650/09 представляет собой хорошо продуманную конструкцию для настольной установки, размерами 29,5х42х32,5 см и весом в 8 кг. Она выполнена в современном стильном дизайне черного цвета с понятными органами управления. Благодаря наличию мельницы с керамическими жерновами, данная модель позволяет готовить кофе из цельных зерен, а также поэкспериментировать с его вкусом, изменив степень помола, выбрав оптимальный вариант из 5 предложенных. Умеет кофеварка и предварительно заваривать кофе, а также предусматривает наличие опции пара, возможность фильтрации воды и программирования. Не забыл производитель и про любителей капучино, установив в Philips HD8650/09 ручной капучинатор с насадкой-панарелло.
Philips EP5360/10;17343;Philips;кавоварка автоматична;настільна;1850;15;1.8;зерна, мелена;7.2;чорний;есть;есть;есть;есть;есть;1925215165;Настольная кофемашина Philips EP5360/10 представляет линейку приборов серии 5000 и является полностью автоматической. Пользователь может выбрать 5 видов крепости напитка и 3 настройки температуры, а также задать персональный профиль. При приготовлении напитка с молоком есть возможность регулировать и объём кофе, и объём молока на свой вкус. Мощность устройства 1850 Вт, создаваемое давление при приготовлении – 15 бар. В герметичный контейнер можно загрузить 250 грамм зёрен кофе и он сохранит их аромат до самого приготовления. Разовая заливка воды в резервуар - до 1,8 литра, а молока в кувшин с капучинатором – 0,5 литра. Мельница с жерновами из прочной керамики, предназначенными для длительной качественной работы, выполняет 5 степеней помола. Вкус готового напитка, без сомнения, улучшает фильтрация воды с помощью фильтра AquaClean, который следует регулярно менять. Кофемашину Philips EP5360/10 удобно мыть после использования, благодаря полностью съёмной варочной группе, а остатки молока легко удаляются с помощью системы быстрой очистки.
Saeco Royal Professional (RI9913/02);6750;Saeco;кавоварка автоматична;настільна;1600;15;2.4;зерна, мелена;15;сріблястий;есть;есть;есть;есть;есть;227985;Приготовить профессиональный кофейный напиток с помощью Philips Saeco Royal Professional (RI9913) в домашних условиях, что может быть лучше для истинного ценителя кофе. Очень мощная кофеварка эспрессо Philips Saeco Royal Professional (RI9913) оснащена резервуаром с водой на 2,4 литра и замечательной функцией контроля крепости, что делает кофе во много раз вкуснее. Наличие мельнички позволит использовать кроме молотого кофе, еще и зерна, поэтому Вы будете пить только настоящий ароматный кофе, способный не только взбодрить, но и подарить отличное настроение на весь день. Следует обратить особое внимание на практичную возможность программирования Philips Saeco Royal Professional (RI9913), что значительно расширит возможности в приготовлении напитка. Только с кофеваркой данной модели кофе будет всегда горячим, благодаря универсальной функции подогрева чашек.
Saeco Minuto One Touch Cappuccino (HD8763/01);9600;Saeco;кавоварка автоматична;настільна;1850;15;1.8;зерна, мелена;7.5;чорний;есть;есть;есть;есть;есть;13242215;"Эспрессо кофеварка, мощностью в 1850 Вт, умеет готовить не только вкусный кофе, но и отменный капучино, благодаря предусмотренной функции ""Сappuccino"". Philips Saeco Minuto One Touch Cappuccino (HD8763/01) проста и удобна как в эксплуатации, так и в обслуживании. Она предусматривает наличие весьма большого резервуара для воды, объемом в 1,8 л, а также мельницы, что дает возможность использовать как молотый кофе, так и в зернах. К тому же делая кофе в этой кофеварке, Вы сможете не только контролировать процесс, но и задавать параметры приготовления, в том числе и крепость кофе. Удобна и функция приготовления двух чашек одновременно, а также предварительное смачивание и продуманные до мелочей детали, такие как регулировка по высоте сопла подачи кофе и съемный кувшин для молока. Philips Saeco Minuto One Touch Cappuccino (HD8763/01) - это техника, рассчитанная на длительный срок эксплуатации, делающая Вашу жизнь проще и приятней."
